task,trial,rotation_angle_deg,34,30,28,16,18,36,22,2,4,24,20,32,10,8,26
rotated_training_15,8,-15,11.71,1.86,16.57,10.77,14.08,8.13,5.04,5.71,13.12,10.25,14.6,10.06,10.29,13.31,22.08
rotated_training_15,9,-15,8.03,7.54,9.12,14.18,13.5,10.12,12.32,10.11,11.46,14.55,7.96,9.81,15.57,11.09,-9.64
rotated_training_15,10,-15,11.37,10.06,18.31,18.07,12.44,15.79,7.35,12.64,12.79,6.47,7.92,6.24,6.83,-17.68,3.34
rotated_training_15,11,-15,11.07,10.79,7.62,19.58,14.64,8.7,12.25,7.39,15.01,12.11,28.1,15.15,5.05,6.16,15.95
rotated_training_15,12,-15,7.8,5.69,13.44,18.22,8.97,6.38,8.93,12.88,5.33,13.76,1.06,6.7,16,5.09,9.96
rotated_training_15,13,-15,15.29,7.54,8.6,1.7,14.5,18.68,10.83,14.64,10.62,13.35,8.36,11.75,7.9,10.01,12.97
rotated_training_15,14,-15,8.97,12.53,13.76,14.43,4.66,17.78,6.95,13.22,9.53,15.73,7.01,16.63,21.84,9.52,0.42
rotated_training_15,15,-15,9.42,14.32,8.13,16.34,10.84,13.17,13.3,9.6,13.96,8.78,26.19,6.22,11.43,14.37,16.96
rotated_training_15,16,-15,11.93,4.59,11.31,16.67,8.21,11.94,10.97,16.62,11.71,14.8,15.51,4.8,8.59,0,12.59
rotated_training_15,17,-15,10.16,9.28,7.38,15.75,12.4,16.03,7.35,16.37,10.38,15.66,24.97,7.63,9.39,15.67,13.88
rotated_training_15,18,-15,11.75,12,12.2,18.54,14.24,25.06,10.8,14.18,9.26,17.78,10.06,16.23,15.29,11.09,-3.12
rotated_training_15,19,-15,11.39,11.08,13.41,8.34,11.23,18.97,11.25,14.25,11.54,15.95,6.02,17.55,21.57,10.62,16.49
rotated_training_15,20,-15,10.45,11.42,16.41,12.49,11.92,14.1,11.88,11.61,16.51,10.36,8.36,8.34,11.96,23.15,16.84
rotated_training_15,21,-15,10.92,20.93,18.56,13.96,9.25,16.82,19.38,17.1,13.66,16.28,12.3,11.87,8.35,9.65,3.84
rotated_training_15,22,-15,19.57,12.15,17.07,19.8,9.06,17.8,9.06,9.85,5.61,13.69,18.17,7.66,23.61,18.95,4.92
rotated_training_15,23,-15,11.25,10.52,18.61,16.92,11.31,-0.19,13.29,9.23,19.67,16.03,7.96,15.83,9.42,18.17,3.89
rotated_training_15,24,-15,10.1,9.87,15.98,12.76,14.1,14.99,15.86,19.68,17.59,16.87,22,8.01,6.62,25.18,20.41
rotated_training_15,25,-15,14.95,13.26,9.06,13.29,11.85,17.69,10.03,10.92,6.34,16.93,21.32,10.91,23.37,-7.39,12.9
rotated_training_15,26,-15,19.77,10.78,14.11,23.2,14.27,15.4,15.45,12.12,9.78,17.02,17.87,13.76,10.09,3.65,4.46
rotated_training_15,27,-15,11.62,14.31,13.71,10.55,13.63,10.81,17.01,16.41,16.32,19.97,4.62,16.93,7.1,15.45,16.56
rotated_training_15,28,-15,10.89,12.41,12.66,32.83,19.43,16,10.09,16.53,18.57,13.42,8.07,7.91,18.82,10.4,10.15
