task_num,trial_num,rotation_angle,targetangle_deg,homex_px,homey_px,targetx_px,targety_px,time_s,mousex_px,mousey_px,cursorx_px,cursory_px,ppt,stratuse,exp,angular_dev
11,3,0,90,0,-10.691,1.8704e-15,30.545,1.5513e+12,-1.1454,11.509,-1.1454,11.509,10_abruptExp,0,abruptExp,2.95353360279429
11,4,0,135,0,-10.691,-21.599,21.599,1.5513e+12,-4.9091,4.8,-4.9091,4.8,10_abruptExp,0,abruptExp,-27.4165843975764
11,5,0,45,0,-10.691,21.599,21.599,1.5513e+12,6.1636,6.1636,6.1636,6.1636,10_abruptExp,0,abruptExp,24.912915342976
11,6,0,90,0,-10.691,1.8704e-15,30.545,1.5513e+12,-0.76363,7.4727,-0.76363,7.4727,10_abruptExp,0,abruptExp,2.40738538180162
11,7,0,45,0,-10.691,21.599,21.599,1.5513e+12,11.509,8.509,11.509,8.509,10_abruptExp,0,abruptExp,14.0603861180044
11,8,0,135,0,-10.691,-21.599,21.599,1.5513e+12,-5.6181,5.5636,-5.6181,5.5636,10_abruptExp,0,abruptExp,-25.9332437879222
11,9,0,90,0,-10.691,1.8704e-15,30.545,1.5513e+12,-0.10909,11.454,-0.10909,11.454,10_abruptExp,0,abruptExp,0.282246377425082
24,1,-60,90,0,-10.691,1.8704e-15,30.545,1.5513e+12,-2.0182,21.763,-2.0182,21.763,11_abruptExp,0,abruptExp,3.55844051136367
24,2,-60,45,0,-10.691,21.599,21.599,1.5513e+12,10.745,19.036,10.745,19.036,11_abruptExp,0,abruptExp,25.1273107208468
24,3,-60,135,0,-10.691,-21.599,21.599,1.5513e+12,-17.018,11.564,-17.018,11.564,11_abruptExp,0,abruptExp,-7.59550342308989
24,4,-60,90,0,-10.691,1.8704e-15,30.545,1.5513e+12,-2.4545,18.109,-2.4545,18.109,11_abruptExp,0,abruptExp,4.87130125467807
24,5,-60,135,0,-10.691,-21.599,21.599,1.5513e+12,-8.7817,6,-8.7817,6,11_abruptExp,0,abruptExp,-17.2496233676062
24,6,-60,45,0,-10.691,21.599,21.599,1.5513e+12,8.8908,18.054,8.8908,18.054,11_abruptExp,0,abruptExp,27.8132135779413
24,7,-60,45,0,-10.691,21.599,21.599,1.5513e+12,4.9091,13.418,4.9091,13.418,11_abruptExp,0,abruptExp,33.4907156766857
24,8,-60,90,0,-10.691,1.8704e-15,30.545,1.5513e+12,-3.8182,21.109,-3.8182,21.109,11_abruptExp,0,abruptExp,6.8466809703141
24,9,-60,135,0,-10.691,-21.599,21.599,1.5513e+12,-15.927,12.982,-15.927,12.982,11_abruptExp,0,abruptExp,-11.0676578680308
16,1,-60,135,0,-10.691,-21.599,21.599,1.5513e+12,-13.036,8.509,-13.036,8.509,11_abruptExp,0,abruptExp,-10.8251293882704
16,2,-60,45,0,-10.691,21.599,21.599,1.5513e+12,9.0545,15.873,9.0545,15.873,11_abruptExp,0,abruptExp,26.1780128447917
16,3,-60,90,0,-10.691,1.8704e-15,30.545,1.5513e+12,-3.9818,18.436,-3.9818,18.436,11_abruptExp,0,abruptExp,7.78435416140141
16,4,-60,90,0,-10.691,1.8704e-15,30.545,1.5513e+12,-3.2182,15.218,-3.2182,15.218,11_abruptExp,0,abruptExp,7.08053860840914
16,5,-60,45,0,-10.691,21.599,21.599,1.5513e+12,6.3818,13.8,6.3818,13.8,11_abruptExp,0,abruptExp,30.3948027717341
16,6,-60,135,0,-10.691,-21.599,21.599,1.5513e+12,-19.745,11.073,-19.745,11.073,11_abruptExp,0,abruptExp,-2.78467514546386
